source_sheet,schluter_item,description,instock_sku,special_order_sku,schluter_item_norm,description_norm
SPO,EV/Q125TSR,"QUADEC IN/OUT CORNER 1/2"" ALUM RUSTIC BROWN",,100388503,EV/Q125TSR,"QUADEC IN/OUT CORNER 1/2"" ALUM RUSTIC BROWN"
SPO,EV/Q125TSSG,"QUADEC IN/OUT CORNER 1/2"" ALUM STONE GREY",,100388537,EV/Q125TSSG,"QUADEC IN/OUT CORNER 1/2"" ALUM STONE GREY"
SPO,EV/Q125EB,"QUADEC IN/OUT CORNER 1/2"" BRUSH STN STEEL",,951502288,EV/Q125EB,"QUADEC IN/OUT CORNER 1/2"" BRUSH STN STEEL"
SPO,EV/Q125E,"QUADEC IN/OUT CORNER 1/2"" STN STEEL",,951502099,EV/Q125E,"QUADEC IN/OUT CORNER 1/2"" STN STEEL"
SPO,EV/Q60ABGB,"QUADEC IN/OUT CORNER 1/4"" ALUM ANTQ BRONZE",,951500827,EV/Q60ABGB,"QUADEC IN/OUT CORNER 1/4"" ALUM ANTQ BRONZE"
SPO,EV/Q60TSB,"QUADEC IN/OUT CORNER 1/4"" ALUM BEIGE",,100388230,EV/Q60TSB,"QUADEC IN/OUT CORNER 1/4"" ALUM BEIGE"
SPO,EV/Q60TSOB,"QUADEC IN/OUT CORNER 1/4"" ALUM BRONZE",,100388248,EV/Q60TSOB,"QUADEC IN/OUT CORNER 1/4"" ALUM BRONZE"
SPO,EV/Q60TSC,"QUADEC IN/OUT CORNER 1/4"" ALUM CREAM",,100388206,EV/Q60TSC,"QUADEC IN/OUT CORNER 1/4"" ALUM CREAM"
SPO,EV/Q60TSDA,"QUADEC IN/OUT CORNER 1/4"" ALUM DARK ANTHRACITE",,100388172,EV/Q60TSDA,"QUADEC IN/OUT CORNER 1/4"" ALUM DARK ANTHRACITE"
SPO,EV/Q60TSBG,"QUADEC IN/OUT CORNER 1/4"" ALUM GREIGE",,100388214,EV/Q60TSBG,"QUADEC IN/OUT CORNER 1/4"" ALUM GREIGE"
SPO,EV/Q60TSI,"QUADEC IN/OUT CORNER 1/4"" ALUM IVORY",,100388222,EV/Q60TSI,"QUADEC IN/OUT CORNER 1/4"" ALUM IVORY"
SPO,EV/Q60TSLA,"QUADEC IN/OUT CORNER 1/4"" ALUM LT ANTHRACITE",,100388180,EV/Q60TSLA,"QUADEC IN/OUT CORNER 1/4"" ALUM LT ANTHRACITE"
